Internship Title,Company Name,Location,Start Date,Duration,Stipend,Apply By,Skills Required,Perks
Trainee - Manufacturing Operations,Royal Enfield,"Chennai, Vallam, Oragadam",Starts immediatelyImmediately,2 Months,"₹ 15,000 - 19,500 /month",16 May' 25,"Effective Communication, Teamwork, Certificate, Free snacks & beverages",N/A
Fundraising,Badlav Seva Samiti (NGO)                                  NGO,Work from home,Starts immediatelyImmediately,1 Month,"₹ 2,000 - 20,000 /month",21 May' 25,"Effective Communication, Interpersonal skills, Certificate, Letter of recommendation, Flexible work hours, 5 days a week, Job offer",N/A
Channel Sales,IndiShreshtha Private Limited,Mumbai,Starts immediatelyImmediately,2 Months,"₹ 15,000 - 21,000 /month",28 May' 25,"Effective Communication, MS-Excel, Negotiation, Sales Management, Self-learning, Certificate, Letter of recommendation, Informal dress code",N/A
Business Development (Sales),Sedawk Dynamics Private Limited,Gurgaon,Starts immediatelyImmediately,6 Months,"₹ 15,000 - 20,000 /month",22 May' 25,"Client Relationship Management (CRM), English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Certificate, Letter of recommendation, Informal dress code, 5 days a week, Job offer",N/A
Marketing,Tripple One Solutions,Work from home,Starts immediatelyImmediately,1 Month,"₹ 3,000 - 10,000 /month",29 Apr' 25,"Digital Marketing, Effective Communication, Lead Generation, Marketing, Social Media Marketing, Certificate, Letter of recommendation, Job offer",N/A
Lead Generation,Tripple One Solutions,Work from home,Starts immediatelyImmediately,1 Month,"₹ 3,000 - 10,000 /month",29 Apr' 25,"Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Social Media Marketing, Certificate, Letter of recommendation, Job offer",N/A
Company Secretary (CS),Shah and Doshi,Mumbai,Starts immediatelyImmediately,3 Months,"₹ 10,000 - 15,000 /month",18 May' 25,"Accounting, Company Law, English Proficiency (Spoken), English Proficiency (Written), MS-Office, MS-Word, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages, Job offer",N/A
Content Dissemination,The Bangalore Editorial,Bangalore                                                    (Hybrid),Starts immediatelyImmediately,6 Months,"₹ 5,000 - 5,002 /month",17 May' 25,"Content Editing, Content Writing, Creative Writing, Certificate, Informal dress code",N/A
International Business Development,Abhishek Agrawal,Ahmedabad,Starts immediatelyImmediately,6 Months,"₹ 10,000 /month",30 Apr' 25,"Artificial intelligence, Digital Marketing, Effective Communication, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), LinkedIn Marketing, Marketing Campaigns, Market research, MS-Office, Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week",N/A
Digital Marketing And Customer Success,Altx Convergence Private Limited,Bangalore,Starts immediatelyImmediately,6 Months,"₹ 18,000 /month",5 Jun' 25,"Client Interaction, Client Relationship, Digital Marketing, Effective Communication, Hindi Proficiency (Spoken), Negotiation, Problem Solving, Sales, Time Management, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages, Job offer",N/A
Graphic Design,Gigde Global Solutions Private Limited,"Delhi, Ghaziabad, Noida",Starts immediatelyImmediately,6 Months,"₹ 12,000 - 15,000 /month",28 May' 25,"Adobe Illustrator, Adobe Photoshop, Certificate, Informal dress code, Free snacks & beverages",N/A
MERN Developer,Ziegler Aerospace,Hyderabad,Starts immediatelyImmediately,6 Months,"₹ 5,000 /month",29 Apr' 25,"English Proficiency (Spoken), JavaScript, Manual Testing, MERN, MongoDB, Node.js, React, Selenium, Certificate, Letter of recommendation, Free snacks & beverages, Job offer",N/A
Content Development (English),"Nooon (Helsinki, Finland)",Work from home,Starts immediatelyImmediately,3 Months,"₹ 5,000 - 8,000 /month",28 Apr' 25,"Canva, Creative Writing, English Proficiency (Spoken), English Proficiency (Written), Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Media & Public Relations (PR),Radiaant Consultant,Thane,Starts immediatelyImmediately,3 Months,"₹ 9,000 - 13,000 /month",28 May' 25,"Client Relationship, MS-Excel, Public Relations, Certificate",N/A
Content Writing,"Discovery Resort Marketing (Orlando, United States)",Work from home,Starts immediatelyImmediately,4 Months,"₹ 7,000 - 10,000 /month",28 May' 25,"American English, Blogging, Creative Writing, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Certificate, Letter of recommendation, 5 days a week",N/A
Human Resources (HR),ADORE                                  NGO,Work from home,Starts immediatelyImmediately,3 Months,Unpaid,29 Apr' 25,"English Proficiency (Spoken), MS-Excel, Certificate, Flexible work hours",N/A
Marketing,IQuanta,Gurgaon,Starts immediatelyImmediately,3 Months,"₹ 11,000 - 17,000 /month",28 May' 25,"Digital Marketing, English Proficiency (Written), Marketing Campaigns, Market research, Social Media Marketing, Certificate, Letter of recommendation, Informal dress code",N/A
Lead Generation,ClearQuote,Work from home,Starts immediatelyImmediately,3 Months,"₹ 25,000 - 31,000 /month",28 May' 25,"English Proficiency (Spoken), English Proficiency (Written), Lead Generation, MS-Excel, Flexible work hours, 5 days a week, Job offer",N/A
Sales And Outreach (S&O),Pawzz                                  NGO,Work from home,Starts immediatelyImmediately,1 Month,"₹ 1,500 - 15,000 /month",28 May' 25,"Adobe Premiere Pro, Advanced Excel, American English, Content Marketing, Digital Marketing, Effective Communication, English Proficiency (Spoken), Market Analysis, Marketing, Marketing Strategies, MS-Excel, MS-Word, Sales, Time Management, Certificate, Letter of recommendation, Flexible work hours",N/A
Marketing Associate,Pawzz                                  NGO,Work from home,Starts immediatelyImmediately,4 Weeks,"₹ 1,500 - 15,000 /month",28 May' 25,"Advanced Excel, Business Analysis, Business Research, Content Marketing, Data Analysis, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Instagram Marketing, Market Analysis, Marketing, Marketing Strategy, Market research, MS-Office, Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours",N/A
Youth Facilitator,Pawzz                                  NGO,Work from home,Starts immediatelyImmediately,4 Weeks,"₹ 1,500 - 15,000 /month",28 May' 25,"Advanced Excel, Business Research, Digital Marketing, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Market Analysis, MS-Excel, MS-Office, MS-Word, Problem Solving, Time Management, Certificate, Letter of recommendation, Flexible work hours",N/A
Facebook Ads,Messold Technologies,Work from home,Starts immediatelyImmediately,6 Months,"₹ 7,000 - 10,000 /month",28 May' 25,"Analytical Thinking, Client Interaction, Creative Thinking, Effective Communication, Facebook Ads, Facebook Marketing, Research and Analytics, Strategy, Certificate, Letter of recommendation, Flexible work hours, 5 days a week, Job offer",N/A
Business Development (Sales),Bana,Bangalore,Starts immediatelyImmediately,3 Months,"₹ 15,000 - 20,000 /month",28 May' 25,"Business Analysis, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Sales, Certificate, Flexible work hours, Informal dress code, 5 days a week",N/A
Human Resources (HR),Axe Consultancy And Security Services LLC,Work from home,Starts immediatelyImmediately,3 Months,"₹ 3,000 - 5,000 /month",10 Jun' 25,"Effective Communication, English Proficiency (Written), Certificate, Letter of recommendation",N/A
Data Entry,Cherag Trader Private Limited,Hyderabad                                                    (Hybrid),Starts immediatelyImmediately,3 Months,"₹ 18,000 - 26,000 /month",28 May' 25,"MS-Office, Certificate, Letter of recommendation",N/A
Campus Ambassador,Rahul Sir Classes,Work from home,Starts immediatelyImmediately,3 Months,Performance Based,28 May' 25,"Digital Marketing, Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours",N/A
UI/UX Design,Blaziken Technologies Private Limited,Mumbai,Starts immediatelyImmediately,6 Months,"₹ 10,000 - 15,000 /month",28 May' 25,"Adobe Illustrator, Adobe Photoshop, Figma, UI & UX Design, User Interface (UI) Development, Wireframing, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages",N/A
MIS,Hungama Digital Media Entertainment Private Limited,Mumbai,Starts immediatelyImmediately,3 Months,"₹ 5,000 /month",28 May' 25,"Data Science, MS-Excel, Certificate, Informal dress code, 5 days a week",N/A
Donor Relation Manager,IHSKAS FOUNDATION,Work from home,Starts immediatelyImmediately,3 Months,"₹ 9,000 - 10,000 lump sum",28 May' 25,"Effective Communication, Problem Solving, Certificate, Letter of recommendation",N/A
Online Marketing,Universal Tribes,Work from home,Starts immediatelyImmediately,1 Month,"₹ 1,000 - 1,001 /month",28 May' 25,"Marketing, Sales, Certificate, Letter of recommendation, Flexible work hours",N/A
